Client,i,Factorial
127.0.0.1:46281,1,1
127.0.0.1:46281,2,2
127.0.0.1:46281,3,6
127.0.0.1:46793,1,1
127.0.0.1:46281,4,24
127.0.0.1:46793,2,2
127.0.0.1:15561,1,1
127.0.0.1:46281,5,120
127.0.0.1:46793,3,6
127.0.0.1:15561,2,2
127.0.0.1:35529,1,1
127.0.0.1:46281,6,720
127.0.0.1:46793,4,24
127.0.0.1:15561,3,6
127.0.0.1:35529,2,2
127.0.0.1:45769,1,1
127.0.0.1:46281,7,5040
127.0.0.1:46793,5,120
127.0.0.1:15561,4,24
127.0.0.1:35529,3,6
127.0.0.1:45769,2,2
127.0.0.1:43209,1,1
127.0.0.1:19145,1,1
127.0.0.1:46281,8,40320
127.0.0.1:46793,6,720
127.0.0.1:15561,5,120
127.0.0.1:35529,4,24
127.0.0.1:45769,3,6
127.0.0.1:43209,2,2
127.0.0.1:19145,2,2
127.0.0.1:47305,1,1
127.0.0.1:46281,9,362880
127.0.0.1:46793,7,5040
127.0.0.1:15561,6,720
127.0.0.1:35529,5,120
127.0.0.1:45769,4,24
127.0.0.1:43209,3,6
127.0.0.1:19145,3,6
127.0.0.1:47305,2,2
127.0.0.1:6858,1,1
127.0.0.1:46281,10,3628800
127.0.0.1:46793,8,40320
127.0.0.1:15561,7,5040
127.0.0.1:35529,6,720
127.0.0.1:45769,5,120
127.0.0.1:43209,4,24
127.0.0.1:19145,4,24
127.0.0.1:47305,3,6
127.0.0.1:6858,2,2
127.0.0.1:28873,1,1
127.0.0.1:36552,1,1
127.0.0.1:15049,1,1
127.0.0.1:37576,1,1
127.0.0.1:46281,11,39916800
127.0.0.1:46793,9,362880
127.0.0.1:15561,8,40320
127.0.0.1:35529,7,5040
127.0.0.1:45769,6,720
127.0.0.1:43209,5,120
127.0.0.1:19145,5,120
127.0.0.1:47305,4,24
127.0.0.1:6858,3,6
127.0.0.1:28873,2,2
127.0.0.1:36552,2,2
127.0.0.1:15049,2,2
127.0.0.1:37576,2,2
127.0.0.1:41673,1,1
127.0.0.1:42697,1,1
127.0.0.1:47817,1,1
127.0.0.1:46281,12,479001600
127.0.0.1:46793,10,3628800
127.0.0.1:15561,9,362880
127.0.0.1:35529,8,40320
127.0.0.1:45769,7,5040
127.0.0.1:43209,6,720
127.0.0.1:19145,6,720
