Client,i,Factorial
127.0.0.1:32452,1,1
127.0.0.1:32452,2,2
127.0.0.1:32452,3,6
127.0.0.1:32452,4,24
127.0.0.1:32452,5,120
127.0.0.1:32452,6,720
127.0.0.1:32452,7,5040
127.0.0.1:32452,8,40320
127.0.0.1:32452,9,362880
127.0.0.1:32452,10,3628800
127.0.0.1:32452,11,39916800
127.0.0.1:32452,12,479001600
127.0.0.1:32452,13,6227020800
127.0.0.1:32452,14,87178291200
127.0.0.1:32452,15,1307674368000
127.0.0.1:32452,16,20922789888000
127.0.0.1:32452,17,355687428096000
127.0.0.1:32452,18,6402373705728000
127.0.0.1:32452,19,121645100408832000
127.0.0.1:32452,20,2432902008176640000
127.0.0.1:24260,1,1
127.0.0.1:24260,2,2
127.0.0.1:24260,3,6
127.0.0.1:24260,4,24
127.0.0.1:24260,5,120
127.0.0.1:24260,6,720
127.0.0.1:24260,7,5040
127.0.0.1:24260,8,40320
127.0.0.1:24260,9,362880
127.0.0.1:24260,10,3628800
127.0.0.1:24260,11,39916800
127.0.0.1:24260,12,479001600
127.0.0.1:24260,13,6227020800
127.0.0.1:24260,14,87178291200
127.0.0.1:24260,15,1307674368000
127.0.0.1:24260,16,20922789888000
127.0.0.1:24260,17,355687428096000
127.0.0.1:24260,18,6402373705728000
127.0.0.1:24260,19,121645100408832000
127.0.0.1:24260,20,2432902008176640000
127.0.0.1:39620,1,1
127.0.0.1:39620,2,2
127.0.0.1:39620,3,6
127.0.0.1:39620,4,24
127.0.0.1:39620,5,120
127.0.0.1:39620,6,720
127.0.0.1:39620,7,5040
127.0.0.1:39620,8,40320
127.0.0.1:39620,9,362880
127.0.0.1:39620,10,3628800
127.0.0.1:39620,11,39916800
127.0.0.1:39620,12,479001600
127.0.0.1:39620,13,6227020800
127.0.0.1:39620,14,87178291200
127.0.0.1:39620,15,1307674368000
127.0.0.1:39620,16,20922789888000
127.0.0.1:39620,17,355687428096000
127.0.0.1:39620,18,6402373705728000
127.0.0.1:39620,19,121645100408832000
127.0.0.1:39620,20,2432902008176640000
127.0.0.1:21188,1,1
127.0.0.1:21188,2,2
127.0.0.1:21188,3,6
127.0.0.1:21188,4,24
127.0.0.1:21188,5,120
127.0.0.1:21188,6,720
127.0.0.1:21188,7,5040
127.0.0.1:21188,8,40320
127.0.0.1:21188,9,362880
127.0.0.1:21188,10,3628800
127.0.0.1:21188,11,39916800
127.0.0.1:21188,12,479001600
127.0.0.1:21188,13,6227020800
127.0.0.1:21188,14,87178291200
127.0.0.1:21188,15,1307674368000
127.0.0.1:21188,16,20922789888000
127.0.0.1:21188,17,355687428096000
127.0.0.1:21188,18,6402373705728000
127.0.0.1:21188,19,121645100408832000
127.0.0.1:21188,20,2432902008176640000
127.0.0.1:40132,1,1
127.0.0.1:40132,2,2
127.0.0.1:40132,3,6
127.0.0.1:40132,4,24
127.0.0.1:40132,5,120
127.0.0.1:40132,6,720
127.0.0.1:40132,7,5040
127.0.0.1:40132,8,40320
127.0.0.1:40132,9,362880
127.0.0.1:40132,10,3628800
127.0.0.1:40132,11,39916800
127.0.0.1:40132,12,479001600
127.0.0.1:40132,13,6227020800
127.0.0.1:40132,14,87178291200
127.0.0.1:40132,15,1307674368000
127.0.0.1:40132,16,20922789888000
127.0.0.1:40132,17,355687428096000
127.0.0.1:40132,18,6402373705728000
127.0.0.1:40132,19,121645100408832000
127.0.0.1:40132,20,2432902008176640000
127.0.0.1:36036,1,1
127.0.0.1:36036,2,2
127.0.0.1:36036,3,6
127.0.0.1:36036,4,24
127.0.0.1:36036,5,120
127.0.0.1:36036,6,720
127.0.0.1:36036,7,5040
127.0.0.1:36036,8,40320
127.0.0.1:36036,9,362880
127.0.0.1:36036,10,3628800
127.0.0.1:36036,11,39916800
127.0.0.1:36036,12,479001600
127.0.0.1:36036,13,6227020800
127.0.0.1:36036,14,87178291200
127.0.0.1:36036,15,1307674368000
127.0.0.1:36036,16,20922789888000
127.0.0.1:36036,17,355687428096000
127.0.0.1:36036,18,6402373705728000
127.0.0.1:36036,19,121645100408832000
127.0.0.1:36036,20,2432902008176640000
127.0.0.1:31428,1,1
127.0.0.1:31428,2,2
127.0.0.1:31428,3,6
127.0.0.1:31428,4,24
127.0.0.1:31428,5,120
127.0.0.1:31428,6,720
127.0.0.1:31428,7,5040
127.0.0.1:31428,8,40320
127.0.0.1:31428,9,362880
127.0.0.1:31428,10,3628800
127.0.0.1:31428,11,39916800
127.0.0.1:31428,12,479001600
127.0.0.1:31428,13,6227020800
127.0.0.1:31428,14,87178291200
127.0.0.1:31428,15,1307674368000
127.0.0.1:31428,16,20922789888000
127.0.0.1:31428,17,355687428096000
127.0.0.1:31428,18,6402373705728000
127.0.0.1:31428,19,121645100408832000
127.0.0.1:31428,20,2432902008176640000
127.0.0.1:41156,1,1
127.0.0.1:41156,2,2
127.0.0.1:41156,3,6
127.0.0.1:41156,4,24
127.0.0.1:41156,5,120
127.0.0.1:41156,6,720
127.0.0.1:41156,7,5040
127.0.0.1:41156,8,40320
127.0.0.1:41156,9,362880
127.0.0.1:41156,10,3628800
127.0.0.1:41156,11,39916800
127.0.0.1:41156,12,479001600
127.0.0.1:41156,13,6227020800
127.0.0.1:41156,14,87178291200
127.0.0.1:41156,15,1307674368000
127.0.0.1:41156,16,20922789888000
127.0.0.1:41156,17,355687428096000
127.0.0.1:41156,18,6402373705728000
127.0.0.1:41156,19,121645100408832000
127.0.0.1:41156,20,2432902008176640000
127.0.0.1:27844,1,1
127.0.0.1:27844,2,2
127.0.0.1:27844,3,6
127.0.0.1:27844,4,24
127.0.0.1:27844,5,120
127.0.0.1:27844,6,720
127.0.0.1:27844,7,5040
127.0.0.1:27844,8,40320
127.0.0.1:27844,9,362880
127.0.0.1:27844,10,3628800
127.0.0.1:27844,11,39916800
127.0.0.1:27844,12,479001600
127.0.0.1:27844,13,6227020800
127.0.0.1:27844,14,87178291200
127.0.0.1:27844,15,1307674368000
127.0.0.1:27844,16,20922789888000
127.0.0.1:27844,17,355687428096000
127.0.0.1:27844,18,6402373705728000
127.0.0.1:27844,19,121645100408832000
127.0.0.1:27844,20,2432902008176640000
127.0.0.1:20164,1,1
127.0.0.1:20164,2,2
127.0.0.1:20164,3,6
127.0.0.1:20164,4,24
127.0.0.1:20164,5,120
127.0.0.1:20164,6,720
127.0.0.1:20164,7,5040
127.0.0.1:20164,8,40320
127.0.0.1:20164,9,362880
127.0.0.1:20164,10,3628800
127.0.0.1:20164,11,39916800
127.0.0.1:20164,12,479001600
127.0.0.1:20164,13,6227020800
127.0.0.1:20164,14,87178291200
127.0.0.1:20164,15,1307674368000
127.0.0.1:20164,16,20922789888000
127.0.0.1:20164,17,355687428096000
127.0.0.1:20164,18,6402373705728000
127.0.0.1:20164,19,121645100408832000
127.0.0.1:20164,20,2432902008176640000
