Client,i,Factorial
127.0.0.1:20657,1,1
127.0.0.1:41649,1,1
127.0.0.1:50864,1,1
127.0.0.1:47793,1,1
127.0.0.1:61617,1,1
127.0.0.1:55985,1,1
127.0.0.1:55988,1,1
127.0.0.1:15026,1,1
127.0.0.1:22194,1,1
127.0.0.1:26290,1,1
127.0.0.1:15538,1,1
127.0.0.1:28338,1,1
127.0.0.1:34994,1,1
127.0.0.1:57009,1,1
127.0.0.1:20657,2,2
127.0.0.1:46258,1,1
127.0.0.1:21169,1,1
127.0.0.1:48306,1,1
127.0.0.1:41649,2,2
127.0.0.1:57522,1,1
127.0.0.1:50864,2,2
127.0.0.1:62130,1,1
127.0.0.1:63154,1,1
127.0.0.1:47793,2,2
127.0.0.1:23219,1,1
127.0.0.1:55985,2,2
127.0.0.1:62642,1,1
127.0.0.1:3763,1,1
127.0.0.1:28338,2,2
127.0.0.1:12467,1,1
127.0.0.1:19635,1,1
127.0.0.1:34994,2,2
127.0.0.1:26803,1,1
127.0.0.1:20657,3,6
127.0.0.1:27827,1,1
127.0.0.1:4275,1,1
127.0.0.1:48817,1,1
127.0.0.1:33459,1,1
127.0.0.1:15538,2,2
127.0.0.1:38067,1,1
127.0.0.1:51379,1,1
127.0.0.1:46258,2,2
127.0.0.1:50867,1,1
127.0.0.1:21169,2,2
127.0.0.1:47795,1,1
127.0.0.1:58544,1,1
127.0.0.1:43699,1,1
127.0.0.1:1234,1,1
127.0.0.1:57522,2,2
127.0.0.1:50864,3,6
127.0.0.1:41169,1,1
127.0.0.1:3764,1,1
127.0.0.1:10418,1,1
127.0.0.1:61617,2,2
127.0.0.1:55988,2,2
127.0.0.1:22194,2,2
127.0.0.1:41681,1,1
127.0.0.1:12980,1,1
127.0.0.1:25780,1,1
127.0.0.1:63154,2,2
127.0.0.1:20148,1,1
127.0.0.1:19636,1,1
127.0.0.1:47793,3,6
127.0.0.1:15026,2,2
127.0.0.1:57009,2,2
127.0.0.1:26290,2,2
127.0.0.1:20660,1,1
127.0.0.1:42164,1,1
127.0.0.1:42676,1,1
127.0.0.1:41652,1,1
127.0.0.1:3713,1,1
127.0.0.1:1727,1,1
127.0.0.1:3763,2,2
127.0.0.1:60596,1,1
127.0.0.1:28338,3,6
127.0.0.1:55985,3,6
127.0.0.1:23219,2,2
127.0.0.1:48306,2,2
127.0.0.1:23787,1,1
127.0.0.1:26803,2,2
127.0.0.1:11445,1,1
127.0.0.1:15541,1,1
127.0.0.1:41649,3,6
127.0.0.1:7349,1,1
127.0.0.1:16053,1,1
127.0.0.1:19125,1,1
127.0.0.1:23733,1,1
127.0.0.1:25781,1,1
127.0.0.1:48817,2,2
127.0.0.1:56534,1,1
127.0.0.1:41668,1,1
127.0.0.1:51379,2,2
127.0.0.1:37557,1,1
127.0.0.1:29877,1,1
127.0.0.1:26293,1,1
127.0.0.1:43189,1,1
127.0.0.1:52917,1,1
127.0.0.1:21169,3,6
127.0.0.1:62642,2,2
127.0.0.1:62130,2,2
127.0.0.1:12467,2,2
127.0.0.1:38067,2,2
127.0.0.1:54965,1,1
127.0.0.1:49333,1,1
127.0.0.1:63669,1,1
127.0.0.1:41169,2,2
127.0.0.1:50867,2,2
127.0.0.1:42193,1,1
127.0.0.1:37078,1,1
127.0.0.1:47280,1,1
127.0.0.1:19635,2,2
127.0.0.1:41681,2,2
127.0.0.1:1234,2,2
127.0.0.1:12956,1,1
127.0.0.1:20657,4,24
127.0.0.1:4275,2,2
127.0.0.1:47795,2,2
127.0.0.1:27827,2,2
127.0.0.1:33969,1,1
127.0.0.1:18102,1,1
127.0.0.1:33459,2,2
127.0.0.1:15538,3,6
127.0.0.1:61617,3,6
127.0.0.1:18614,1,1
127.0.0.1:22194,3,6
127.0.0.1:42676,2,2
127.0.0.1:23734,1,1
127.0.0.1:35509,1,1
127.0.0.1:27318,1,1
127.0.0.1:46258,3,6
127.0.0.1:45750,1,1
127.0.0.1:43699,2,2
127.0.0.1:55988,3,6
127.0.0.1:36022,1,1
127.0.0.1:35510,1,1
127.0.0.1:34994,3,6
127.0.0.1:42166,1,1
127.0.0.1:22148,1,1
127.0.0.1:23729,1,1
127.0.0.1:60598,1,1
127.0.0.1:64694,1,1
127.0.0.1:20148,2,2
127.0.0.1:56502,1,1
127.0.0.1:30390,1,1
127.0.0.1:58544,2,2
127.0.0.1:1727,2,2
127.0.0.1:19636,2,2
127.0.0.1:32982,1,1
127.0.0.1:18615,1,1
127.0.0.1:51888,1,1
127.0.0.1:20660,2,2
127.0.0.1:183,1,1
127.0.0.1:22199,1,1
127.0.0.1:24759,1,1
127.0.0.1:25780,2,2
127.0.0.1:47793,4,24
127.0.0.1:27831,1,1
127.0.0.1:42164,2,2
127.0.0.1:31415,1,1
127.0.0.1:37047,1,1
127.0.0.1:50864,4,24
127.0.0.1:56534,2,2
127.0.0.1:15541,2,2
127.0.0.1:15543,1,1
127.0.0.1:57009,3,6
127.0.0.1:63670,1,1
127.0.0.1:10418,2,2
127.0.0.1:44215,1,1
127.0.0.1:57522,3,6
127.0.0.1:41652,2,2
127.0.0.1:16053,2,2
127.0.0.1:23733,2,2
127.0.0.1:19125,2,2
127.0.0.1:26290,3,6
127.0.0.1:25781,2,2
127.0.0.1:12980,2,2
127.0.0.1:3764,2,2
127.0.0.1:39604,1,1
127.0.0.1:32432,1,1
127.0.0.1:50871,1,1
127.0.0.1:54965,2,2
127.0.0.1:37557,2,2
127.0.0.1:23787,2,2
127.0.0.1:63154,3,6
127.0.0.1:3713,2,2
127.0.0.1:11445,2,2
127.0.0.1:15026,3,6
127.0.0.1:41668,2,2
127.0.0.1:12465,1,1
127.0.0.1:55985,4,24
127.0.0.1:40631,1,1
127.0.0.1:49333,2,2
127.0.0.1:58039,1,1
127.0.0.1:1234,3,6
127.0.0.1:62642,3,6
127.0.0.1:46775,1,1
127.0.0.1:61623,1,1
127.0.0.1:62647,1,1
127.0.0.1:23219,3,6
127.0.0.1:1208,1,1
127.0.0.1:178,1,1
127.0.0.1:3763,3,6
127.0.0.1:47792,1,1
127.0.0.1:11953,1,1
127.0.0.1:18614,2,2
127.0.0.1:28338,4,24
127.0.0.1:21169,4,24
127.0.0.1:6840,1,1
127.0.0.1:3256,1,1
127.0.0.1:60596,2,2
127.0.0.1:9912,1,1
127.0.0.1:48306,3,6
127.0.0.1:40624,1,1
127.0.0.1:48305,1,1
127.0.0.1:38067,3,6
127.0.0.1:61105,1,1
127.0.0.1:7349,2,2
127.0.0.1:56497,1,1
127.0.0.1:26803,3,6
127.0.0.1:42193,2,2
127.0.0.1:64689,1,1
127.0.0.1:43189,2,2
127.0.0.1:36022,2,2
127.0.0.1:33969,2,2
127.0.0.1:35509,2,2
127.0.0.1:27826,1,1
127.0.0.1:45746,1,1
127.0.0.1:51378,1,1
127.0.0.1:57010,1,1
127.0.0.1:56498,1,1
127.0.0.1:20612,1,1
127.0.0.1:61618,1,1
127.0.0.1:12979,1,1
127.0.0.1:21636,1,1
127.0.0.1:5299,1,1
127.0.0.1:30390,2,2
127.0.0.1:3251,1,1
127.0.0.1:46259,1,1
127.0.0.1:40627,1,1
127.0.0.1:6836,1,1
127.0.0.1:41649,4,24
127.0.0.1:56502,2,2
127.0.0.1:41156,1,1
127.0.0.1:8884,1,1
127.0.0.1:33460,1,1
127.0.0.1:21172,1,1
127.0.0.1:62130,3,6
127.0.0.1:41140,1,1
127.0.0.1:52916,1,1
127.0.0.1:54964,1,1
127.0.0.1:59060,1,1
127.0.0.1:27318,2,2
127.0.0.1:48817,3,6
127.0.0.1:1727,3,6
127.0.0.1:43716,1,1
127.0.0.1:51379,3,6
127.0.0.1:27827,3,6
127.0.0.1:29877,2,2
127.0.0.1:51376,1,1
127.0.0.1:47280,2,2
127.0.0.1:63668,1,1
127.0.0.1:35510,2,2
127.0.0.1:4275,3,6
127.0.0.1:33972,1,1
127.0.0.1:18102,2,2
127.0.0.1:52917,2,2
127.0.0.1:34485,1,1
127.0.0.1:30389,1,1
127.0.0.1:56534,3,6
127.0.0.1:47795,3,6
127.0.0.1:41169,3,6
127.0.0.1:12956,2,2
127.0.0.1:23734,2,2
127.0.0.1:42164,3,6
127.0.0.1:22199,2,2
127.0.0.1:42166,2,2
127.0.0.1:19636,3,6
127.0.0.1:42677,1,1
127.0.0.1:34997,1,1
127.0.0.1:63669,2,2
127.0.0.1:60597,1,1
127.0.0.1:64693,1,1
127.0.0.1:50867,3,6
127.0.0.1:26293,2,2
127.0.0.1:3766,1,1
127.0.0.1:12467,3,6
127.0.0.1:15542,1,1
127.0.0.1:9963,1,1
127.0.0.1:11446,1,1
127.0.0.1:41681,3,6
127.0.0.1:37078,2,2
127.0.0.1:19635,3,6
127.0.0.1:64694,2,2
127.0.0.1:20657,5,120
127.0.0.1:39604,2,2
127.0.0.1:22194,4,24
127.0.0.1:33459,3,6
127.0.0.1:42676,3,6
127.0.0.1:46258,4,24
127.0.0.1:57009,4,24
127.0.0.1:41652,3,6
127.0.0.1:32470,1,1
127.0.0.1:61617,4,24
127.0.0.1:22148,2,2
127.0.0.1:37553,1,1
127.0.0.1:45750,2,2
127.0.0.1:49366,1,1
127.0.0.1:43699,3,6
127.0.0.1:31926,1,1
127.0.0.1:32982,2,2
127.0.0.1:34994,4,24
127.0.0.1:20148,3,6
127.0.0.1:44215,2,2
127.0.0.1:53429,1,1
127.0.0.1:27831,2,2
127.0.0.1:15538,4,24
127.0.0.1:23729,2,2
127.0.0.1:183,2,2
127.0.0.1:60598,2,2
127.0.0.1:55988,4,24
127.0.0.1:52406,1,1
127.0.0.1:18615,2,2
127.0.0.1:51888,2,2
127.0.0.1:26290,4,24
127.0.0.1:40631,2,2
127.0.0.1:63154,4,24
127.0.0.1:32432,2,2
127.0.0.1:9399,1,1
127.0.0.1:47793,5,120
127.0.0.1:25780,3,6
127.0.0.1:49333,3,6
127.0.0.1:50864,5,120
127.0.0.1:58544,3,6
127.0.0.1:19125,3,6
127.0.0.1:10418,3,6
127.0.0.1:24759,2,2
127.0.0.1:50871,2,2
127.0.0.1:64182,1,1
127.0.0.1:37047,2,2
127.0.0.1:25781,3,6
127.0.0.1:12471,1,1
127.0.0.1:31415,2,2
127.0.0.1:30903,1,1
127.0.0.1:12465,2,2
127.0.0.1:58039,2,2
127.0.0.1:11445,3,6
127.0.0.1:34999,1,1
127.0.0.1:23787,3,6
127.0.0.1:15541,3,6
127.0.0.1:24247,1,1
127.0.0.1:15543,2,2
127.0.0.1:31920,1,1
127.0.0.1:20660,3,6
127.0.0.1:63670,2,2
127.0.0.1:1201,1,1
127.0.0.1:57522,4,24
127.0.0.1:1713,1,1
127.0.0.1:37557,3,6
127.0.0.1:44209,1,1
127.0.0.1:16053,3,6
127.0.0.1:3764,3,6
127.0.0.1:42161,1,1
127.0.0.1:12980,3,6
127.0.0.1:46775,2,2
127.0.0.1:32434,1,1
127.0.0.1:23733,3,6
127.0.0.1:41668,3,6
127.0.0.1:62642,4,24
127.0.0.1:3713,3,6
127.0.0.1:61623,2,2
127.0.0.1:32946,1,1
127.0.0.1:23217,1,1
127.0.0.1:28339,1,1
127.0.0.1:32947,1,1
127.0.0.1:48307,1,1
127.0.0.1:58035,1,1
127.0.0.1:49331,1,1
127.0.0.1:15026,4,24
127.0.0.1:55985,5,120
127.0.0.1:1234,4,24
127.0.0.1:54965,3,6
127.0.0.1:59056,1,1
127.0.0.1:28340,1,1
127.0.0.1:65201,1,1
127.0.0.1:64180,1,1
127.0.0.1:62647,2,2
127.0.0.1:1208,2,2
127.0.0.1:178,2,2
127.0.0.1:23219,4,24
127.0.0.1:7862,1,1
127.0.0.1:52458,1,1
127.0.0.1:34487,1,1
127.0.0.1:32439,1,1
127.0.0.1:51895,1,1
127.0.0.1:28337,1,1
127.0.0.1:14514,1,1
127.0.0.1:21124,1,1
127.0.0.1:48819,1,1
127.0.0.1:23222,1,1
127.0.0.1:33458,1,1
127.0.0.1:54993,1,1
127.0.0.1:33459,4,24
127.0.0.1:23217,2,2
127.0.0.1:42676,4,24
127.0.0.1:41649,5,120
127.0.0.1:56502,3,6
127.0.0.1:25781,4,24
127.0.0.1:46775,3,6
127.0.0.1:35509,3,6
127.0.0.1:36022,3,6
127.0.0.1:48305,2,2
127.0.0.1:56534,4,24
127.0.0.1:43189,3,6
127.0.0.1:52917,3,6
127.0.0.1:23222,2,2
127.0.0.1:21169,5,120
127.0.0.1:64182,2,2
127.0.0.1:33969,3,6
