Client,i,Factorial
127.0.0.1:62694,1,1
127.0.0.1:62182,1,1
127.0.0.1:62694,2,2
127.0.0.1:65254,1,1
127.0.0.1:2791,1,1
127.0.0.1:4839,1,1
127.0.0.1:62182,2,2
127.0.0.1:62694,3,6
127.0.0.1:65254,2,2
127.0.0.1:2791,2,2
127.0.0.1:4839,2,2
127.0.0.1:5351,1,1
127.0.0.1:62182,3,6
127.0.0.1:62694,4,24
127.0.0.1:65254,3,6
127.0.0.1:2791,3,6
127.0.0.1:4839,3,6
127.0.0.1:5351,2,2
127.0.0.1:6375,1,1
127.0.0.1:62182,4,24
127.0.0.1:62694,5,120
127.0.0.1:65254,4,24
127.0.0.1:2791,4,24
127.0.0.1:4839,4,24
127.0.0.1:5351,3,6
127.0.0.1:6375,2,2
127.0.0.1:10471,1,1
127.0.0.1:62182,5,120
127.0.0.1:62694,6,720
127.0.0.1:65254,5,120
127.0.0.1:2791,5,120
127.0.0.1:4839,5,120
127.0.0.1:5351,4,24
127.0.0.1:6375,3,6
127.0.0.1:10471,2,2
127.0.0.1:13543,1,1
127.0.0.1:62182,6,720
127.0.0.1:62694,7,5040
127.0.0.1:65254,6,720
127.0.0.1:2791,6,720
127.0.0.1:4839,6,720
127.0.0.1:5351,5,120
127.0.0.1:6375,4,24
127.0.0.1:10471,3,6
127.0.0.1:13543,2,2
127.0.0.1:15591,1,1
127.0.0.1:62182,7,5040
127.0.0.1:62694,8,40320
127.0.0.1:65254,7,5040
127.0.0.1:2791,7,5040
127.0.0.1:4839,7,5040
127.0.0.1:5351,6,720
127.0.0.1:6375,5,120
127.0.0.1:10471,4,24
127.0.0.1:13543,3,6
127.0.0.1:15591,2,2
127.0.0.1:62182,8,40320
127.0.0.1:62694,9,362880
127.0.0.1:65254,8,40320
127.0.0.1:2791,8,40320
127.0.0.1:4839,8,40320
127.0.0.1:5351,7,5040
127.0.0.1:6375,6,720
127.0.0.1:10471,5,120
127.0.0.1:13543,4,24
127.0.0.1:15591,3,6
127.0.0.1:62182,9,362880
127.0.0.1:62694,10,3628800
127.0.0.1:65254,9,362880
127.0.0.1:2791,9,362880
127.0.0.1:4839,9,362880
127.0.0.1:5351,8,40320
127.0.0.1:6375,7,5040
127.0.0.1:10471,6,720
127.0.0.1:13543,5,120
127.0.0.1:15591,4,24
127.0.0.1:62182,10,3628800
