Client,i,Factorial
127.0.0.1:8918,1,1
127.0.0.1:3286,1,1
127.0.0.1:9430,1,1
127.0.0.1:8918,2,2
127.0.0.1:5334,1,1
127.0.0.1:63189,1,1
127.0.0.1:3286,2,2
127.0.0.1:9430,2,2
127.0.0.1:8918,3,6
127.0.0.1:5334,2,2
127.0.0.1:27861,1,1
127.0.0.1:63189,2,2
127.0.0.1:36566,1,1
127.0.0.1:3286,3,6
127.0.0.1:9430,3,6
127.0.0.1:8918,4,24
127.0.0.1:5334,3,6
127.0.0.1:27861,2,2
127.0.0.1:63189,3,6
127.0.0.1:36566,2,2
127.0.0.1:22742,1,1
127.0.0.1:3286,4,24
127.0.0.1:9430,4,24
127.0.0.1:8918,5,120
127.0.0.1:5334,4,24
127.0.0.1:27861,3,6
127.0.0.1:63189,4,24
127.0.0.1:36566,3,6
127.0.0.1:22742,2,2
127.0.0.1:17110,1,1
127.0.0.1:3286,5,120
127.0.0.1:9430,5,120
127.0.0.1:8918,6,720
127.0.0.1:5334,5,120
127.0.0.1:27861,4,24
127.0.0.1:63189,5,120
127.0.0.1:36566,4,24
127.0.0.1:22742,3,6
127.0.0.1:17110,2,2
127.0.0.1:50389,1,1
127.0.0.1:3286,6,720
127.0.0.1:9430,6,720
127.0.0.1:8918,7,5040
127.0.0.1:5334,6,720
127.0.0.1:27861,5,120
127.0.0.1:63189,6,720
127.0.0.1:36566,5,120
127.0.0.1:22742,4,24
127.0.0.1:17110,3,6
127.0.0.1:50389,2,2
127.0.0.1:18134,1,1
127.0.0.1:3286,7,5040
127.0.0.1:9430,7,5040
127.0.0.1:8918,8,40320
127.0.0.1:5334,7,5040
127.0.0.1:27861,6,720
127.0.0.1:63189,7,5040
127.0.0.1:36566,6,720
127.0.0.1:22742,5,120
127.0.0.1:17110,4,24
127.0.0.1:50389,3,6
127.0.0.1:18134,2,2
127.0.0.1:18646,1,1
127.0.0.1:3286,8,40320
127.0.0.1:9430,8,40320
127.0.0.1:8918,9,362880
127.0.0.1:5334,8,40320
127.0.0.1:27861,7,5040
127.0.0.1:63189,8,40320
