Client,i,Factorial
201.85.0.0:52259,1,1
201.85.0.0:52259,2,2
201.85.0.0:52259,3,6
201.85.0.0:52259,4,24
201.85.0.0:52259,5,120
201.85.0.0:52259,6,720
201.85.0.0:52259,7,5040
201.85.0.0:52259,8,40320
201.85.0.0:52259,9,362880
201.85.0.0:52259,10,3628800
201.85.0.0:52259,11,39916800
201.85.0.0:52259,12,479001600
201.85.0.0:52259,13,6227020800
201.85.0.0:52259,14,87178291200
201.85.0.0:52259,15,1307674368000
201.85.0.0:52259,16,20922789888000
201.85.0.0:52259,17,355687428096000
201.85.0.0:52259,18,6402373705728000
201.85.0.0:52259,19,121645100408832000
201.85.0.0:52259,20,2432902008176640000
